,dia,nuo,defected,data,qSQI,cSQI,sSQI,kSQI,pSQI,basSQI,fSQI
69,0,0,1,"[-1.42691776e-03 -6.90667117e-04  2.44713798e-05 ...  8.29028417e-03
  7.30678215e-03  6.27152001e-03]",0.238,0.709,0.343,7.243,0.978,0.734,0.1961025497803334
70,1,1,0,[0.00634352 0.00784827 0.00936759 ... 0.03275053 0.02725707 0.0216553 ],0.049,0.629,1.829,7.794,0.984,0.846,0.36501831794748363
71,1,0,0,[0.00055855 0.00142562 0.00229783 ... 0.00219615 0.00280722 0.00346139],0.027,0.614,4.785,71.809,0.989,0.755,0.2564366487393409
72,0,1,0,"[ 0.01370486  0.01292634  0.01219407 ... -0.02791723 -0.02613055
 -0.02431709]",0.186,0.642,1.531,6.484,0.974,0.856,0.37274078226409535
73,0,1,1,"[-0.01440997 -0.01383725 -0.0133112  ... -0.01017503 -0.01400752
 -0.01805041]",0.483,0.569,1.538,9.077,0.988,0.776,0.3814336758195601
74,0,1,0,"[-0.05426937 -0.04878723 -0.04344973 ... -0.00766445 -0.0071391
 -0.0066501 ]",0.259,0.872,-1.793,50.825,0.969,0.781,0.23986493937597406
75,0,1,0,"[-0.01104714 -0.01147653 -0.01185952 ... -0.0136046  -0.01337896
 -0.01315201]",0.526,0.583,2.543,9.488,0.989,0.894,0.5495283296016521
76,1,0,0,"[-0.00490824 -0.0116753  -0.01817376 ... -0.00826091 -0.00765878
 -0.00706689]",0.778,0.584,2.349,10.88,0.989,0.852,0.4959295442226229
77,0,1,1,"[-0.00256765 -0.00344797 -0.00432014 ...  0.03214985  0.03136006
  0.03057616]",0.587,0.583,1.681,8.919,0.965,0.597,0.18333304817928356
78,1,0,0,[0.02750961 0.02738946 0.02728215 ... 0.01228077 0.00905679 0.00569256],0.013,0.631,2.564,12.187,0.987,0.879,0.5209386230081601
79,0,0,1,"[-0.1282058  -0.1248111  -0.121512   ...  0.00369494  0.00358782
  0.00347894]",0.052,0.579,0.11,5.976,0.984,0.737,0.21744822948865805
80,1,1,0,"[-0.01089752 -0.00912439 -0.00740458 ... -0.00957893 -0.0076492
 -0.005655  ]",0.072,0.649,1.824,8.402,0.989,0.888,0.4462942937548674
81,1,1,0,"[ 0.00724702  0.01045159  0.01358123 ... -0.01522329 -0.01376994
 -0.01234007]",0.158,0.643,0.87,5.002,0.985,0.861,0.40285507094865664
82,0,1,0,"[-0.02069389 -0.02209138 -0.02346104 ... -0.02277961 -0.02010993
 -0.01737588]",0.793,0.578,3.18,14.836,0.988,0.86,0.4606123759034191
83,0,1,0,"[-0.01866869 -0.01951415 -0.02032288 ... -0.01305559 -0.01155506
 -0.01005413]",0.004,0.643,0.458,15.109,0.991,0.761,0.3099444583317485
84,0,1,1,"[-0.00103894  0.00233127  0.00573015 ...  0.00187291 -0.00017957
 -0.00227832]",0.263,0.58,-0.756,47.28,0.984,0.802,0.3721695330972085
85,0,0,0,"[ 0.00112631  0.00271896  0.00429093 ... -0.00520498 -0.00453057
 -0.00381181]",0.002,0.662,1.081,9.862,0.993,0.752,0.3140727004894791
86,0,1,0,"[-0.0023797  -0.00199395 -0.00162899 ...  0.00172738  0.00329755
  0.00494382]",0.197,0.837,0.333,2.316,0.984,0.807,0.40693014651061843
87,1,0,0,[0.02179013 0.0225977  0.02328649 ... 0.0067414  0.00565185 0.00451044],0.025,0.65,2.863,13.287,0.987,0.862,0.47292900160470874
